Triclinic (space group numbers 1-2)
R11, R12, R13, R21, R22, R23, R31, R32, R33
1, 0, 0, 0, 1, 0, 0, 0, 1

Monoclinic (space group numbers 2-15)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, 1, 0, 0, 0, -1
1, 0, 0, 0, -1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 0, 1

Orthorhombic (space group numbers 16-74)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, -1, 0, 0, 0, 1
-1, 0, 0, 0, 1, 0, 0, 0, -1
-1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, -1, 0, 0, 0, -1
1, 0, 0, 0, -1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 0, -1
1, 0, 0, 0, 1, 0, 0, 0, 1

Tetragonal (space group numbers 75-142)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, -1, 0, 0, 0, 1
-1, 0, 0, 0, 1, 0, 0, 0, -1
-1, 0, 0, 0, 1, 0, 0, 0, 1
0, -1, 0, -1, 0, 0, 0, 0, -1
0, -1, 0, -1, 0, 0, 0, 0, 1
0, -1, 0, 1, 0, 0, 0, 0, -1
0, -1, 0, 1, 0, 0, 0, 0, 1
0, 1, 0, -1, 0, 0, 0, 0, -1
0, 1, 0, -1, 0, 0, 0, 0, 1
0, 1, 0, 1, 0, 0, 0, 0, -1
0, 1, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 0, -1, 0, 0, 0, -1
1, 0, 0, 0, -1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 0, -1
1, 0, 0, 0, 1, 0, 0, 0, 1

Trigonal (space groups starting with P within range of space group numbers 143-167)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, -1, 1, 0, 0, 0, -1
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 1, 0, -1, 0, 0, 0, 0, 1
-1, 1, 0, 0, 1, 0, 0, 0, 1
0, -1, 0, -1, 0, 0, 0, 0, 1
0, -1, 0, 1, -1, 0, 0, 0, 1
0, 1, 0, -1, 1, 0, 0, 0, -1
0, 1, 0, 1, 0, 0, 0, 0, -1
1, -1, 0, 0, -1, 0, 0, 0, -1
1, -1, 0, 1, 0, 0, 0, 0, -1
1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 1, -1, 0, 0, 0, 1

Rhombohedral cell (primitive space groups starting with R within range of space group numbers 143-167)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, 0, -1, 0, -1, 0
0, -1, 0, -1, 0, 0, 0, 0, -1
0, -1, 0, 0, 0, -1, -1, 0, 0
0, 0, -1, -1, 0, 0, 0, -1, 0
0, 0, -1, 0, -1, 0, -1, 0, 0
0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 0, 0, 1, 0, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 1

Hexagonal (space group numbers 168-194)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, -1, 1, 0, 0, 0, -1
-1, 0, 0, -1, 1, 0, 0, 0, 1
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, -1, 0, 0, 0, 1
-1, 1, 0, -1, 0, 0, 0, 0, -1
-1, 1, 0, -1, 0, 0, 0, 0, 1
-1, 1, 0, 0, 1, 0, 0, 0, -1
-1, 1, 0, 0, 1, 0, 0, 0, 1
0, -1, 0, -1, 0, 0, 0, 0, -1
0, -1, 0, -1, 0, 0, 0, 0, 1
0, -1, 0, 1, -1, 0, 0, 0, -1
0, -1, 0, 1, -1, 0, 0, 0, 1
0, 1, 0, -1, 1, 0, 0, 0, -1
0, 1, 0, -1, 1, 0, 0, 0, 1
0, 1, 0, 1, 0, 0, 0, 0, -1
0, 1, 0, 1, 0, 0, 0, 0, 1
1, -1, 0, 0, -1, 0, 0, 0, -1
1, -1, 0, 0, -1, 0, 0, 0, 1
1, -1, 0, 1, 0, 0, 0, 0, -1
1, -1, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 0, -1
1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 1, -1, 0, 0, 0, -1
